idEntrada;acessoOnline;statusSaida;paginaSaida;avaliacao.r;dataHoraEntrada;dataHoraSaida;dataHoraErro;tempoAcesso;codigo;erro
1;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;173.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
2;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;212.00;550;"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
3;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:03;427.00;500;"""INTERNAL SERVER ERROR"""
4;0;20%;4;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;248.00;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
5;0;20%;4;positiva;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:02;256.00;500;"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
6;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:03;446.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
7;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;295.00;500;"""CLIENTE NAO CADASTRADO"""
8;0;20%;4;negativa;18/05/2021 17:57;18/05/2021 17:58;18/05/2021 17:56;88.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
9;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:58;158.00;550;"""NAO ENCONTROU DADOS PARA A SELECAO"""
10;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;187.00;550;"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
11;0;20%;4;n/ avaliado;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:01;387.00;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
